"payment_id","amount","payment_date","customer_id","staff_id","first_name","last_name","email"
17503,7.99,2007-02-15 22:25:46.996,341,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17504,1.99,2007-02-16 17:23:14.996,341,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17505,7.99,2007-02-16 22:41:45.996,341,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17506,2.99,2007-02-19 19:39:56.996,341,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17507,7.99,2007-02-20 17:31:48.996,341,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17508,5.99,2007-02-21 12:33:49.996,341,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17509,5.99,2007-02-17 23:58:17.996,342,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17510,5.99,2007-02-20 02:11:44.996,342,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17511,2.99,2007-02-20 13:57:39.996,342,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17512,4.99,2007-02-16 00:10:50.996,343,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17513,6.99,2007-02-16 01:15:33.996,343,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17514,0.99,2007-02-17 01:26:00.996,343,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17515,0.99,2007-02-17 04:32:51.996,343,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17516,6.99,2007-02-18 18:26:38.996,343,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17517,8.99,2007-02-20 07:03:29.996,343,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17518,0.99,2007-02-21 14:42:28.996,343,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17519,3.99,2007-02-15 10:54:44.996,344,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17520,4.99,2007-02-15 19:36:27.996,344,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17521,0.99,2007-02-16 14:00:38.996,344,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17522,0.99,2007-02-15 01:26:17.996,345,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17523,4.99,2007-02-15 18:34:15.996,345,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17524,0.99,2007-02-16 00:27:01.996,345,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17525,4.99,2007-02-19 16:13:41.996,345,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17526,5.99,2007-02-17 09:35:32.996,346,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
17527,2.99,2007-02-21 12:02:45.996,346,2,Jon,Stephens,Jon.Stephens@sakilastaff.com
17528,2.99,2007-02-21 15:51:24.996,346,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com
